origin;destination;shortest_flight(h);longest_fight(h);cheapest_flight;most_expensive_flight;average_time;average_price
FEN-Brasil;LIS-Portugal;1;21;2242.00;4924.00;11.5;3231.6
FEN-Brasil;MEL-Austrália;1;19;2341.00;4944.00;9.6;3913.8
FEN-Brasil;YYC-Canada;1;17;2073.00;4828.00;8.3;3645.1
GRU-Brasil;FEN-Brasil;4;21;2299.00;4946.00;13.1;3522.4
GRU-Brasil;KIN-Jamaica;1;22;2006.00;4769.00;11.9;3183.1
GRU-Brasil;LIS-Portugal;3;22;2323.00;4986.00;14.0;3483.4
GRU-Brasil;MEL-Austrália;1;23;2464.00;4943.00;11.7;4216.0
GRU-Brasil;YYC-Canada;8;22;2211.00;4971.00;14.9;3468.8
JFK-Estados Unidos;FEN-Brasil;1;24;3010.00;4685.00;11.9;3818.2
JFK-Estados Unidos;GRU-Brasil;1;23;2294.00;4995.00;13.3;3707.1
JFK-Estados Unidos;KIN-Jamaica;1;23;2073.00;4631.00;9.9;3464.0
JFK-Estados Unidos;LIS-Portugal;3;23;2293.00;4918.00;13.8;3655.3
JFK-Estados Unidos;MEL-Austrália;1;19;2129.00;4746.00;8.7;3110.5
JFK-Estados Unidos;MEX-México;1;24;2645.00;4712.00;13.2;3771.9
JFK-Estados Unidos;NRT-Japão;2;23;2076.00;4937.00;14.8;3424.3
JFK-Estados Unidos;PEK-China;10;24;2061.00;4967.00;17.3;3879.8
JFK-Estados Unidos;YYC-Canada;1;22;2004.00;4807.00;11.4;3048.6
KIN-Jamaica;FEN-Brasil;1;23;2071.00;4680.00;12.1;2838.8
KIN-Jamaica;LIS-Portugal;1;21;2857.00;4934.00;12.2;3897.7
KIN-Jamaica;MEL-Austrália;2;23;2044.00;4815.00;13.8;3318.3
KIN-Jamaica;YYC-Canada;1;23;2454.00;4472.00;15.4;3458.4
MEL-Austrália;LIS-Portugal;1;24;2459.00;4527.00;12.1;3212.1
MEX-México;FEN-Brasil;6;23;2932.00;4624.00;17.0;3878.5
MEX-México;GRU-Brasil;2;24;2372.00;4933.00;13.2;3780.7
MEX-México;KIN-Jamaica;1;23;2015.00;4658.00;11.7;3329.4
MEX-México;LIS-Portugal;2;22;2217.00;4824.00;14.3;3157.7
MEX-México;MEL-Austrália;2;23;2231.00;4800.00;13.4;3387.6
MEX-México;NRT-Japão;1;24;2405.00;4679.00;10.5;3497.0
MEX-México;PEK-China;5;18;2061.00;4348.00;11.4;3702.0
MEX-México;YYC-Canada;2;23;2129.00;4941.00;12.3;3558.3
NRT-Japão;FEN-Brasil;1;21;2317.00;4854.00;8.5;3643.4
NRT-Japão;GRU-Brasil;1;19;2263.00;4304.00;11.5;3465.1
NRT-Japão;KIN-Jamaica;3;24;2359.00;4942.00;12.9;3869.6
NRT-Japão;LIS-Portugal;1;24;2040.00;4984.00;11.5;3175.7
NRT-Japão;MEL-Austrália;9;24;2345.00;4640.00;16.3;3587.1
NRT-Japão;PEK-China;2;22;2088.00;4928.00;11.4;3517.3
NRT-Japão;YYC-Canada;2;17;2052.00;4847.00;9.9;3843.3
PEK-China;FEN-Brasil;2;22;2108.00;4321.00;11.2;3318.1
PEK-China;GRU-Brasil;2;23;2088.00;4602.00;15.4;3284.7
PEK-China;KIN-Jamaica;1;24;2546.00;4757.00;10.4;3163.5
PEK-China;LIS-Portugal;1;22;2146.00;4678.00;11.3;3187.4
PEK-China;MEL-Austrália;1;24;2321.00;4717.00;15.9;3213.6
PEK-China;YYC-Canada;3;24;2225.00;4720.00;11.9;3349.9
YYC-Canada;LIS-Portugal;1;24;2001.00;4600.00;11.4;3468.2
YYC-Canada;MEL-Austrália;4;24;2026.00;4848.00;13.1;3529.3
